# seed=42 mode=bolter file=animated_sample.gif filesize=410396
trial	mode	filesize	off	bit	span	detected
0	bolter	410396	11806	-	1	true
1	bolter	410396	188709	-	1	true
2	bolter	410396	294591	-	1	true
3	bolter	410396	81895	-	1	true
4	bolter	410396	303929	-	1	true
5	bolter	410396	13274	-	1	true
6	bolter	410396	230420	-	1	false
7	bolter	410396	348251	-	1	true
8	bolter	410396	49004	-	1	true
9	bolter	410396	251201	-	1	true
10	bolter	410396	178989	-	1	false
11	bolter	410396	25897	-	1	true
12	bolter	410396	288904	-	1	true
13	bolter	410396	151302	-	1	true
14	bolter	410396	84113	-	1	true
15	bolter	410396	111483	-	1	true
16	bolter	410396	3090	-	1	true
17	bolter	410396	37900	-	1	true
18	bolter	410396	323707	-	1	true
19	bolter	410396	357928	-	1	true
20	bolter	410396	5668	-	1	true
21	bolter	410396	363703	-	1	true
22	bolter	410396	184740	-	1	true
23	bolter	410396	245275	-	1	true
24	bolter	410396	238179	-	1	false
25	bolter	410396	164973	-	1	false
26	bolter	410396	227870	-	1	true
27	bolter	410396	226123	-	1	true
28	bolter	410396	390164	-	1	true
29	bolter	410396	281492	-	1	true
30	bolter	410396	224064	-	1	false
31	bolter	410396	273199	-	1	true
32	bolter	410396	88314	-	1	true
33	bolter	410396	196986	-	1	true
34	bolter	410396	279533	-	1	true
35	bolter	410396	18512	-	1	true
36	bolter	410396	90038	-	1	true
37	bolter	410396	316759	-	1	true
38	bolter	410396	110182	-	1	true
39	bolter	410396	7734	-	1	false
40	bolter	410396	353742	-	1	true
41	bolter	410396	49031	-	1	true
42	bolter	410396	366019	-	1	true
43	bolter	410396	101284	-	1	true
44	bolter	410396	353946	-	1	true
45	bolter	410396	66386	-	1	true
46	bolter	410396	136502	-	1	true
47	bolter	410396	212620	-	1	true
48	bolter	410396	88265	-	1	true
49	bolter	410396	370885	-	1	true
50	bolter	410396	119678	-	1	true
51	bolter	410396	409892	-	1	true
52	bolter	410396	102806	-	1	true
53	bolter	410396	130213	-	1	true
54	bolter	410396	136834	-	1	true
55	bolter	410396	249352	-	1	true
56	bolter	410396	277431	-	1	true
57	bolter	410396	54816	-	1	true
58	bolter	410396	297127	-	1	true
59	bolter	410396	231631	-	1	true
60	bolter	410396	71464	-	1	true
61	bolter	410396	184529	-	1	true
62	bolter	410396	192137	-	1	false
63	bolter	410396	388719	-	1	false
64	bolter	410396	241980	-	1	true
65	bolter	410396	7960	-	1	true
66	bolter	410396	287059	-	1	true
67	bolter	410396	22556	-	1	true
68	bolter	410396	231622	-	1	true
69	bolter	410396	16148	-	1	true
70	bolter	410396	368083	-	1	true
71	bolter	410396	203187	-	1	true
72	bolter	410396	210612	-	1	true
73	bolter	410396	162770	-	1	true
74	bolter	410396	306336	-	1	true
75	bolter	410396	184733	-	1	true
76	bolter	410396	375739	-	1	false
77	bolter	410396	404230	-	1	true
78	bolter	410396	282800	-	1	false
79	bolter	410396	405016	-	1	true
80	bolter	410396	275619	-	1	true
81	bolter	410396	243651	-	1	false
82	bolter	410396	116538	-	1	true
83	bolter	410396	225871	-	1	true
84	bolter	410396	350433	-	1	true
85	bolter	410396	301602	-	1	true
86	bolter	410396	185873	-	1	true
87	bolter	410396	274688	-	1	true
88	bolter	410396	185182	-	1	true
89	bolter	410396	166056	-	1	true
90	bolter	410396	231026	-	1	true
91	bolter	410396	198	-	1	false
92	bolter	410396	275809	-	1	true
93	bolter	410396	148239	-	1	true
94	bolter	410396	294197	-	1	true
95	bolter	410396	289097	-	1	true
96	bolter	410396	183491	-	1	true
97	bolter	410396	248318	-	1	true
98	bolter	410396	40501	-	1	true
99	bolter	410396	369482	-	1	true
