# seed=42 mode=shotgun file=Aero Blasters (JU).gen filesize=524288
trial	mode	filesize	off	bit	span	detected
0	shotgun	524288	414535	-	4096	false
1	shotgun	524288	197184	-	4096	false
2	shotgun	524288	29203	-	4096	false
3	shotgun	524288	332539	-	4096	false
4	shotgun	524288	512943	-	4096	false
5	shotgun	524288	27626	-	4096	false
6	shotgun	524288	489391	-	4096	false
7	shotgun	524288	92178	-	4096	false
8	shotgun	524288	186871	-	4096	false
9	shotgun	524288	27728	-	4096	false
10	shotgun	524288	407174	-	4096	false
11	shotgun	524288	285811	-	4096	false
12	shotgun	524288	45619	-	4096	false
13	shotgun	524288	314707	-	4096	false
14	shotgun	524288	389995	-	4096	false
15	shotgun	524288	46530	-	4096	false
16	shotgun	524288	138388	-	4096	false
17	shotgun	524288	289524	-	4096	false
18	shotgun	524288	428892	-	4096	false
19	shotgun	524288	273210	-	4096	false
20	shotgun	524288	46680	-	4096	false
21	shotgun	524288	266325	-	4096	false
22	shotgun	524288	364209	-	4096	false
23	shotgun	524288	387944	-	4096	false
24	shotgun	524288	406318	-	4096	false
25	shotgun	524288	111477	-	4096	false
26	shotgun	524288	241934	-	4096	false
27	shotgun	524288	481195	-	4096	false
28	shotgun	524288	174548	-	4096	false
29	shotgun	524288	60038	-	4096	false
30	shotgun	524288	395	-	4096	false
31	shotgun	524288	142351	-	4096	false
32	shotgun	524288	16	-	4096	true
33	shotgun	524288	264061	-	4096	false
34	shotgun	524288	35672	-	4096	false
35	shotgun	524288	133460	-	4096	false
36	shotgun	524288	120146	-	4096	false
37	shotgun	524288	93657	-	4096	false
38	shotgun	524288	344858	-	4096	false
39	shotgun	524288	466617	-	4096	false
40	shotgun	524288	179432	-	4096	false
41	shotgun	524288	96600	-	4096	false
42	shotgun	524288	503826	-	4096	false
43	shotgun	524288	463488	-	4096	false
44	shotgun	524288	478751	-	4096	false
45	shotgun	524288	292403	-	4096	false
46	shotgun	524288	378724	-	4096	false
47	shotgun	524288	505122	-	4096	false
48	shotgun	524288	448948	-	4096	false
49	shotgun	524288	146554	-	4096	false
50	shotgun	524288	479361	-	4096	false
51	shotgun	524288	337684	-	4096	false
52	shotgun	524288	189497	-	4096	false
53	shotgun	524288	115090	-	4096	false
54	shotgun	524288	481867	-	4096	false
55	shotgun	524288	222934	-	4096	false
56	shotgun	524288	212362	-	4096	false
57	shotgun	524288	518864	-	4096	false
58	shotgun	524288	487953	-	4096	false
59	shotgun	524288	459863	-	4096	false
60	shotgun	524288	443779	-	4096	false
61	shotgun	524288	243372	-	4096	false
62	shotgun	524288	281607	-	4096	false
63	shotgun	524288	459957	-	4096	false
64	shotgun	524288	469349	-	4096	false
65	shotgun	524288	157956	-	4096	false
66	shotgun	524288	3282	-	4096	false
67	shotgun	524288	343460	-	4096	false
68	shotgun	524288	512051	-	4096	false
69	shotgun	524288	376701	-	4096	false
70	shotgun	524288	35982	-	4096	false
71	shotgun	524288	477865	-	4096	false
72	shotgun	524288	274771	-	4096	false
73	shotgun	524288	102135	-	4096	false
74	shotgun	524288	301198	-	4096	false
75	shotgun	524288	219148	-	4096	false
76	shotgun	524288	334442	-	4096	false
77	shotgun	524288	313160	-	4096	false
78	shotgun	524288	426643	-	4096	false
79	shotgun	524288	407126	-	4096	false
80	shotgun	524288	118037	-	4096	false
81	shotgun	524288	276138	-	4096	false
82	shotgun	524288	344545	-	4096	false
83	shotgun	524288	93385	-	4096	false
84	shotgun	524288	311878	-	4096	false
85	shotgun	524288	19281	-	4096	false
86	shotgun	524288	269035	-	4096	false
87	shotgun	524288	397819	-	4096	false
88	shotgun	524288	134127	-	4096	false
89	shotgun	524288	141996	-	4096	false
90	shotgun	524288	368961	-	4096	false
91	shotgun	524288	509642	-	4096	false
92	shotgun	524288	84165	-	4096	false
93	shotgun	524288	165379	-	4096	false
94	shotgun	524288	238867	-	4096	false
95	shotgun	524288	82454	-	4096	false
96	shotgun	524288	83046	-	4096	false
97	shotgun	524288	220758	-	4096	false
98	shotgun	524288	191502	-	4096	false
99	shotgun	524288	192528	-	4096	false
