# seed=42 mode=shotgun file=sample.tga filesize=11564
trial	mode	filesize	off	bit	span	detected
0	shotgun	11564	6101	-	4096	false
1	shotgun	11564	180	-	4096	false
2	shotgun	11564	1885	-	4096	false
3	shotgun	11564	2961	-	4096	false
4	shotgun	11564	451	-	4096	false
5	shotgun	11564	1970	-	4096	false
6	shotgun	11564	1531	-	4096	false
7	shotgun	11564	7010	-	4096	false
8	shotgun	11564	5686	-	4096	false
9	shotgun	11564	4982	-	4096	false
10	shotgun	11564	1976	-	4096	false
11	shotgun	11564	3349	-	4096	false
12	shotgun	11564	5309	-	4096	false
13	shotgun	11564	4288	-	4096	false
14	shotgun	11564	3596	-	4096	false
15	shotgun	11564	7259	-	4096	false
16	shotgun	11564	5579	-	4096	false
17	shotgun	11564	636	-	4096	false
18	shotgun	11564	5951	-	4096	false
19	shotgun	11564	7225	-	4096	false
20	shotgun	11564	3719	-	4096	false
21	shotgun	11564	4062	-	4096	false
22	shotgun	11564	2579	-	4096	false
23	shotgun	11564	3823	-	4096	false
24	shotgun	11564	3739	-	4096	false
25	shotgun	11564	6729	-	4096	false
26	shotgun	11564	3585	-	4096	false
27	shotgun	11564	6206	-	4096	false
28	shotgun	11564	4492	-	4096	false
29	shotgun	11564	6587	-	4096	false
30	shotgun	11564	2962	-	4096	false
31	shotgun	11564	4417	-	4096	false
32	shotgun	11564	2252	-	4096	false
33	shotgun	11564	6679	-	4096	false
34	shotgun	11564	217	-	4096	false
35	shotgun	11564	150	-	4096	false
36	shotgun	11564	2669	-	4096	false
37	shotgun	11564	7035	-	4096	false
38	shotgun	11564	1883	-	4096	false
39	shotgun	11564	6751	-	4096	false
40	shotgun	11564	4299	-	4096	false
41	shotgun	11564	2194	-	4096	false
42	shotgun	11564	5558	-	4096	false
43	shotgun	11564	4750	-	4096	false
44	shotgun	11564	6006	-	4096	false
45	shotgun	11564	3227	-	4096	false
46	shotgun	11564	2509	-	4096	false
47	shotgun	11564	2539	-	4096	false
48	shotgun	11564	6425	-	4096	false
49	shotgun	11564	7377	-	4096	false
50	shotgun	11564	7174	-	4096	false
51	shotgun	11564	2213	-	4096	false
52	shotgun	11564	3504	-	4096	false
53	shotgun	11564	2595	-	4096	false
54	shotgun	11564	2519	-	4096	false
55	shotgun	11564	1169	-	4096	false
56	shotgun	11564	3740	-	4096	false
57	shotgun	11564	3308	-	4096	false
58	shotgun	11564	1693	-	4096	false
59	shotgun	11564	289	-	4096	false
60	shotgun	11564	6690	-	4096	false
61	shotgun	11564	1450	-	4096	false
62	shotgun	11564	287	-	4096	false
63	shotgun	11564	5060	-	4096	false
64	shotgun	11564	7150	-	4096	false
65	shotgun	11564	2308	-	4096	false
66	shotgun	11564	3323	-	4096	false
67	shotgun	11564	5607	-	4096	false
68	shotgun	11564	6113	-	4096	false
69	shotgun	11564	4757	-	4096	false
70	shotgun	11564	2040	-	4096	false
71	shotgun	11564	2216	-	4096	false
72	shotgun	11564	2523	-	4096	false
73	shotgun	11564	2582	-	4096	false
74	shotgun	11564	6765	-	4096	false
75	shotgun	11564	4097	-	4096	false
76	shotgun	11564	7417	-	4096	false
77	shotgun	11564	4958	-	4096	false
78	shotgun	11564	2043	-	4096	false
79	shotgun	11564	6280	-	4096	false
80	shotgun	11564	937	-	4096	false
81	shotgun	11564	5066	-	4096	false
82	shotgun	11564	6630	-	4096	false
83	shotgun	11564	688	-	4096	false
84	shotgun	11564	2829	-	4096	false
85	shotgun	11564	5883	-	4096	false
86	shotgun	11564	2539	-	4096	false
87	shotgun	11564	4380	-	4096	false
88	shotgun	11564	101	-	4096	false
89	shotgun	11564	5766	-	4096	false
90	shotgun	11564	2101	-	4096	false
91	shotgun	11564	6695	-	4096	false
92	shotgun	11564	5328	-	4096	false
93	shotgun	11564	7425	-	4096	false
94	shotgun	11564	2245	-	4096	false
95	shotgun	11564	6715	-	4096	false
96	shotgun	11564	71	-	4096	false
97	shotgun	11564	210	-	4096	false
98	shotgun	11564	3564	-	4096	false
99	shotgun	11564	4320	-	4096	false
